document_id,company_code,fiscal_year,fiscal_period,posting_date,semantic_scenario_id,business_process,document_type,source,counterparty_type,reference,line_count,debit_total,credit_total,top_gl_accounts,line_text_sample
4554e464-83f4-4d3f-92d3-a411247143ac,C001,2024,2,2024-02-14 12:27:37,A2R_ASSET_ACQUISITION,A2R,KR,automated,Vendor,INV-C001-2024-955203-C001-2024-KR-955203,2,3777672.0,3777672.0,"151900,2000",equipment project progress billing | offsetting normal accounting line
353d4c82-8264-4e26-90e2-a2110a0582c6,C001,2022,12,2022-12-26 12:23:50,A2R_DEPRECIATION,A2R,SA,adjustment,InternalDepartment,JE-C001-2022-1487400-C001-2022-SA-1487400,2,1647623.0,1647623.0,"681100,139100",scheduled intangible amortization | offsetting normal accounting line
7d7c5c6d-8417-4e80-918a-b0f083ef4767,C001,2023,3,2023-03-28 17:49:57,A2R_DEPRECIATION,A2R,SA,automated,InternalDepartment,AMORT-C001-2023-Q1,14,5730094877.0,5730094877.0,"681100,139100",정상 무형자산 상각비 | 정상 무형자산 상각누계
9b115937-8536-42bb-91cb-bec3b44eb805,C001,2022,1,2022-01-31 10:47:40,A2R_DEPRECIATION,R2R,SA,adjustment,InternalDepartment,ACCR-REV-C001-202201-910561,2,33997939.0,33997939.0,"681100,139100",normal linked accrual debit | normal linked accrual credit
bf7fae3f-8b2e-4698-9fa1-bbf465780c1d,C001,2022,5,2022-05-31 12:40:41,A2R_DEPRECIATION,R2R,SA,manual,InternalDepartment,ACCR-REV-C001-202205-910505,2,39424967.0,39424967.0,"681100,139100",normal linked accrual debit | normal linked accrual credit
952d570d-8dc3-45dc-9c5d-ad11a61a9b47,C001,2024,10,2024-10-02 11:56:17,H2R_PAYROLL_ACCRUAL,H2R,SA,automated,Employee,EXP-C001-2024-1251805-C001-2024-SA-1251805,2,64061400.0,64061400.0,"117900,1000",travel and expense advance settlement | offsetting normal accounting line
62a56c78-859f-4a69-9dd0-b398b103e068,C001,2024,6,2024-06-30 15:23:00,H2R_PAYROLL_ACCRUAL,R2R,SA,adjustment,InternalDepartment,ACCR-REV-C001-202406-910458,2,57083438.0,57083438.0,"6100,2000",normal linked accrual debit | normal linked accrual credit
8bb84658-869d-4c00-92b0-b52564b3da08,C001,2022,3,2022-03-31 13:40:37,H2R_PAYROLL_ACCRUAL,R2R,SA,manual,InternalDepartment,ACCR-REV-C001-202203-910170,2,72320510.0,72320510.0,"6100,2000",normal linked accrual debit | normal linked accrual credit
ab697a6d-935e-4879-9495-5923d04755df,C001,2024,11,2024-11-05 18:29:18,H2R_PAYROLL_PAYMENT,H2R,HR,adjustment,Employee,EXP-C001-2024-000046-ab697a6d,4,116350.0,116350.0,"2200,500300,6300",급여 지급 이체
41ae94b6-c7a7-4a80-b7fd-a2a7b82adf0a,C001,2023,5,2023-05-09 06:26:36,H2R_PAYROLL_PAYMENT,H2R,HR,automated,Employee,EXP-C001-2023-000189-41ae94b6,8,2013613.0,2013613.0,"2200,6300,500300,100030",급여 지급 이체
aadfc320-98d5-4da5-be0f-b51978ce9e7e,C001,2022,5,2022-05-17 10:31:40,H2R_PAYROLL_PAYMENT,H2R,HR,interface,Employee,EXP-C001-2022-000177-aadfc320,2,583627.0,583627.0,"6300,400370",급여 지급 이체
5b745779-1e6c-44c8-b29f-755656d29873,C001,2024,7,2024-07-31 07:11:16,H2R_PAYROLL_PAYMENT,H2R,HR,manual,Employee,EXP-C001-2024-000047,2,2471214.0,2471214.0,"500300,2200",급여 지급 이체
0106d47a-c953-4ce9-adb2-0c93bedb8598,C001,2022,9,2022-09-22 09:36:46,H2R_PAYROLL_PAYMENT,H2R,HR,recurring,Employee,EXP-C001-2022-000057-0106d47a,2,2172720.0,2172720.0,"200550,2200",급여 지급 이체
02b92402-8c2a-4346-9a38-b7d8113cb946,C001,2022,11,2022-11-21 10:35:00,IC_INTERCOMPANY_SALE,Intercompany,IC,automated,IntercompanyAffiliate,IC-SVC-C003-2022-11-47665,2,57917665.0,57917665.0,"1150,4500",normal related-party service settlement
36556a59-8fd2-4bdf-90e7-b99c7d9b2cab,C001,2023,4,2023-04-21 15:17:11,MFG_COGS_RECOGNITION,MFG,SA,automated,InternalDepartment,MFG-COST-C001-2023-04,6,337001442.0,337001442.0,"500090,1200",normal monthly cost of sales recognition
78037d55-885c-4885-9888-a51171fdab1f,C001,2023,11,2023-11-20 11:00:39,MFG_WIP_ACCOUNTING,MFG,SA,automated,ProductionOrder,MFG-C001-2023-1439605-C001-2023-SA-1439605,2,65865244.0,65865244.0,"123100,5000",normal production WIP accumulation | offsetting normal accounting line
6e3d582b-5eb9-4a12-9e60-76aa200164f8,C001,2022,4,2022-04-17 18:53:40,O2C_CASH_RECEIPT,O2C,DZ,automated,Bank,RCP:REC-C001-0000000025,2,224049.0,224049.0,"1000,1100",Customer Receipt REC-C001-0000000025 - C-000049
d2c6a906-829c-4b29-94b2-a6113ddc02d2,C001,2022,5,2022-05-14 09:23:47,O2C_CONTRACT_ACCOUNTING,O2C,DR,automated,InternalDepartment,BILL-C001-2022-1076001-C001-2022-DR-1076001,2,1561370.0,1561370.0,"116100,412100",unbilled percentage-of-completion revenue | offsetting normal accounting line
96eb54dc-9986-45f4-bea3-a5ac1e4f57ed,C001,2024,12,2024-12-30 08:03:45,O2C_CUSTOMER_INVOICE,O2C,DR,adjustment,Bank,SO-C001-2024-000628,2,18766084.0,18766084.0,"100030,4000",외상매출금 회수 - GL100200-4670 | 대리점 판매 - (주)의료장비 제2 [DR]
15994638-8c83-40c7-a1a8-07b7a4a6ff10,C001,2024,7,2024-07-30 14:03:31,O2C_CUSTOMER_INVOICE,O2C,DR,automated,Bank,SO-C001-2024-001069,2,4882100.0,4882100.0,"100030,4000",계좌 간 이체 [DR] | ODM 매출 - (주)제조파트너스
